Bear,Type,Date,latitude,longitude,LocationQuality,,,
1,GPS,2014-04-10T02:00:38,70.399477,-146.346833,G,,,
1,Argos,2014-04-10T02:19:12,70.4,-146.332,L3,,,
1,Argos,2014-04-10T02:50:59,70.423,-146.328,LB,,,
1,Argos,2014-04-10T02:53:19,70.395,-146.366,L1,,,
1,GPS,2014-04-10T03:00:38,70.399321,-146.346887,G,,,
1,GPS,2014-04-10T04:00:38,70.399465,-146.345513,G,,,
1,Argos,2014-04-10T04:31:44,70.396,-146.351,L3,,,
1,Argos,2014-04-10T04:32:30,70.397,-146.364,L2,,,
1,GPS,2014-04-10T05:00:38,70.39945,-146.345912,G,,,
1,GPS,2014-04-10T08:00:01,70.400245,-146.341905,G,,,
1,GPS,2014-04-10T10:00:01,70.400169,-146.342336,G,,,
1,GPS,2014-04-10T12:00:01,70.400095,-146.342898,G,,,
1,GPS,2014-04-10T14:00:01,70.413133,-146.360477,G,,,
1,GPS,2014-04-10T16:00:01,70.425296,-146.349638,G,,,
1,GPS,2014-04-10T18:00:01,70.426508,-146.348323,G,,,
1,GPS,2014-04-10T20:00:01,70.427213,-146.351945,G,,,
1,GPS,2014-04-10T22:00:01,70.430931,-146.366849,G,,,
1,GPS,2014-04-11T00:00:01,70.441137,-146.366951,G,,,
1,GPS,2014-04-11T02:00:01,70.44783,-146.376339,G,,,
1,GPS,2014-04-11T04:00:01,70.448143,-146.375619,G,,,
1,GPS,2014-04-11T06:00:01,70.447595,-146.370533,G,,,
1,GPS,2014-04-11T08:00:01,70.455583,-146.385454,G,,,
1,GPS,2014-04-11T10:00:01,70.454615,-146.385405,G,,,
1,GPS,2014-04-11T12:00:01,70.460865,-146.413174,G,,,
1,GPS,2014-04-11T14:00:01,70.469116,-146.435779,G,,,
1,GPS,2014-04-11T16:00:01,70.472787,-146.440847,G,,,
1,GPS,2014-04-11T18:00:01,70.479249,-146.438251,G,,,
1,Argos,2014-04-11T18:26:20,70.479,-146.439,L1,,,
1,Argos,2014-04-11T18:44:56,70.553,-146.522,LB,,,
1,Argos,2014-04-11T18:51:55,70.49,-146.448,LB,,,
1,Argos,2014-04-11T19:03:32,70.484,-146.419,L3,,,
1,Argos,2014-04-11T19:49:16,70.491,-146.492,L3,,,
1,GPS,2014-04-11T20:00:01,70.486699,-146.450587,G,,,
1,Argos,2014-04-11T20:06:19,70.488,-146.463,LA,,,
1,Argos,2014-04-11T21:28:28,70.492,-146.428,L0,,,
1,Argos,2014-04-11T21:45:31,70.442,-146.35,LB,,,
1,GPS,2014-04-11T22:00:01,70.48745,-146.446371,G,,,
1,GPS,2014-04-12T00:00:01,70.489138,-146.407097,G,,,
1,GPS,2014-04-12T02:00:01,70.507311,-146.33945,G,,,
1,GPS,2014-04-12T04:00:01,70.507622,-146.339284,G,,,
1,GPS,2014-04-12T06:00:01,70.510158,-146.345223,G,,,
1,GPS,2014-04-12T08:00:01,70.511111,-146.346685,G,,,
1,GPS,2014-04-12T10:00:01,70.511373,-146.346428,G,,,
1,GPS,2014-04-12T12:00:01,70.511356,-146.34645,G,,,
1,GPS,2014-04-12T14:00:01,70.510589,-146.353924,G,,,
1,GPS,2014-04-12T16:00:01,70.51229,-146.350639,G,,,
1,GPS,2014-04-12T18:00:01,70.513106,-146.35084,G,,,
1,GPS,2014-04-12T20:00:01,70.513997,-146.352831,G,,,
1,GPS,2014-04-12T22:00:01,70.515844,-146.35565,G,,,
1,GPS,2014-04-13T00:00:01,70.517697,-146.359074,G,,,
1,GPS,2014-04-13T02:00:01,70.519316,-146.362109,G,,,
1,GPS,2014-04-13T04:00:01,70.520179,-146.364747,G,,,
1,GPS,2014-04-13T06:00:01,70.519983,-146.420844,G,,,
1,GPS,2014-04-13T08:00:01,70.520199,-146.472881,G,,,
1,GPS,2014-04-13T10:00:01,70.516767,-146.481351,G,,,
1,GPS,2014-04-13T12:00:01,70.518738,-146.488585,G,,,
1,GPS,2014-04-13T14:00:01,70.518343,-146.489563,G,,,
1,GPS,2014-04-13T16:00:01,70.518308,-146.521791,G,,,
1,GPS,2014-04-13T18:00:01,70.524515,-146.520678,G,,,
1,GPS,2014-04-13T20:00:01,70.524465,-146.522637,G,,,
1,Argos,2014-04-13T20:05:32,70.525,-146.526,L1,,,
1,Argos,2014-04-13T21:46:17,70.526,-146.514,L3,,,
1,GPS,2014-04-13T22:00:01,70.524591,-146.525041,G,,,
1,GPS,2014-04-14T00:00:01,70.524626,-146.528925,G,,,
1,GPS,2014-04-14T02:00:01,70.524484,-146.534816,G,,,
1,GPS,2014-04-14T04:00:01,70.525643,-146.54449,G,,,
1,GPS,2014-04-14T06:00:01,70.535994,-146.58186,G,,,
1,GPS,2014-04-14T08:00:01,70.523676,-146.605051,G,,,
1,GPS,2014-04-14T10:00:01,70.524281,-146.612636,G,,,
1,GPS,2014-04-14T12:00:01,70.52409,-146.613005,G,,,
1,GPS,2014-04-14T14:00:01,70.523956,-146.613113,G,,,
1,GPS,2014-04-14T16:00:01,70.524284,-146.612766,G,,,
1,GPS,2014-04-14T18:00:01,70.525773,-146.614745,G,,,
1,GPS,2014-04-14T20:00:01,70.526077,-146.613568,G,,,
1,GPS,2014-04-14T22:00:01,70.526221,-146.611262,G,,,
1,GPS,2014-04-15T00:00:01,70.526657,-146.609908,G,,,
1,GPS,2014-04-15T02:00:01,70.526714,-146.612259,G,,,
1,GPS,2014-04-15T04:00:01,70.527041,-146.615949,G,,,
1,GPS,2014-04-15T06:00:01,70.526184,-146.615109,G,,,
1,GPS,2014-04-15T08:00:01,70.526095,-146.614771,G,,,
1,GPS,2014-04-15T10:00:01,70.52648,-146.613689,G,,,
1,GPS,2014-04-15T12:00:01,70.526473,-146.612629,G,,,
1,GPS,2014-04-15T14:00:01,70.526745,-146.612418,G,,,
1,GPS,2014-04-15T16:00:01,70.526372,-146.612775,G,,,
1,GPS,2014-04-15T18:00:01,70.526852,-146.612861,G,,,
1,Argos,2014-04-15T18:03:06,70.53,-146.614,LA,,,
1,Argos,2014-04-15T18:19:23,70.527,-146.599,L2,,,
1,Argos,2014-04-15T18:42:38,70.532,-146.673,LA,,,
1,Argos,2014-04-15T18:54:15,70.513,-146.576,LA,,,
1,Argos,2014-04-15T18:58:54,70.535,-146.64,LB,,,
1,GPS,2014-04-15T20:00:01,70.527845,-146.614925,G,,,
1,Argos,2014-04-15T20:01:41,70.527,-146.618,LA,,,
1,Argos,2014-04-15T20:24:09,70.528,-146.604,LA,,,
1,Argos,2014-04-15T20:39:39,70.529,-146.624,LA,,,
1,Argos,2014-04-15T21:21:30,70.528,-146.613,LA,,,
1,GPS,2014-04-15T22:00:01,70.527786,-146.615101,G,,,
1,GPS,2014-04-16T00:00:01,70.527539,-146.615906,G,,,
1,GPS,2014-04-16T02:00:01,70.527137,-146.616521,G,,,
1,GPS,2014-04-16T04:00:01,70.525672,-146.614328,G,,,
1,GPS,2014-04-16T06:00:01,70.525153,-146.615716,G,,,
1,GPS,2014-04-16T08:00:01,70.524588,-146.615795,G,,,
1,GPS,2014-04-16T10:00:01,70.52451,-146.61586,G,,,
1,GPS,2014-04-16T12:00:01,70.524408,-146.615941,G,,,
1,GPS,2014-04-16T14:00:01,70.524804,-146.615941,G,,,
1,GPS,2014-04-16T16:00:01,70.524376,-146.61607,G,,,
1,GPS,2014-04-16T18:00:01,70.524118,-146.616456,G,,,
1,GPS,2014-04-16T20:00:01,70.52395,-146.616457,G,,,
1,GPS,2014-04-16T22:00:01,70.523425,-146.616188,G,,,
1,GPS,2014-04-17T00:00:01,70.523129,-146.616206,G,,,
1,GPS,2014-04-17T02:00:01,70.522558,-146.615964,G,,,
1,GPS,2014-04-17T04:00:01,70.521565,-146.614356,G,,,
1,GPS,2014-04-17T06:00:01,70.521409,-146.612789,G,,,
1,GPS,2014-04-17T08:00:01,70.510723,-146.604726,G,,,
1,GPS,2014-04-17T10:00:01,70.481842,-146.656415,G,,,
1,GPS,2014-04-17T12:00:01,70.485824,-146.693931,G,,,
1,GPS,2014-04-17T14:00:01,70.473108,-146.754047,G,,,
1,GPS,2014-04-17T16:00:01,70.47285,-146.753428,G,,,
1,GPS,2014-04-17T18:00:01,70.472819,-146.753411,G,,,
1,Argos,2014-04-17T18:03:52,70.463,-146.71,LB,,,
1,Argos,2014-04-17T18:05:25,70.472,-146.713,L1,,,
1,Argos,2014-04-17T19:18:16,70.466,-146.732,LA,,,
1,Argos,2014-04-17T19:39:11,70.411,-146.591,LB,,,
1,Argos,2014-04-17T19:43:50,70.473,-146.778,LA,,,
1,GPS,2014-04-17T20:00:01,70.472638,-146.753322,G,,,
1,Argos,2014-04-17T20:17:56,70.476,-146.785,LA,,,
1,Argos,2014-04-17T20:58:14,70.476,-146.624,LA,,,
1,Argos,2014-04-17T21:23:02,70.464,-146.72,L1,,,
1,Argos,2014-04-17T21:23:02,70.484,-146.75,LA,,,
1,Argos,2014-04-17T21:57:08,70.471,-146.74,LA,,,
1,GPS,2014-04-17T22:00:01,70.472642,-146.753339,G,,,
1,GPS,2014-04-18T00:00:01,70.472482,-146.753588,G,,,
1,GPS,2014-04-18T02:00:01,70.472445,-146.753608,G,,,
1,GPS,2014-04-18T04:00:01,70.472372,-146.753682,G,,,
1,GPS,2014-04-18T06:00:01,70.472407,-146.753818,G,,,
1,GPS,2014-04-18T08:00:01,70.473637,-146.753151,G,,,
1,GPS,2014-04-18T10:00:01,70.472955,-146.755302,G,,,
1,GPS,2014-04-18T12:00:01,70.473832,-146.765153,G,,,
1,GPS,2014-04-18T14:00:01,70.474028,-146.769425,G,,,
1,GPS,2014-04-18T16:00:01,70.473539,-146.767245,G,,,
1,GPS,2014-04-18T18:00:01,70.473539,-146.767303,G,,,
1,GPS,2014-04-18T20:00:01,70.473427,-146.767535,G,,,
1,GPS,2014-04-18T22:00:01,70.473036,-146.766553,G,,,
1,GPS,2014-04-19T00:00:01,70.473021,-146.766552,G,,,
1,GPS,2014-04-19T02:00:01,70.473006,-146.766432,G,,,
1,GPS,2014-04-19T04:00:01,70.472989,-146.766424,G,,,
1,GPS,2014-04-19T06:00:01,70.473673,-146.769801,G,,,
1,GPS,2014-04-19T08:00:01,70.47365,-146.769792,G,,,
1,GPS,2014-04-19T10:00:01,70.473655,-146.769801,G,,,
1,GPS,2014-04-19T12:00:01,70.474405,-146.772552,G,,,
1,GPS,2014-04-19T14:00:01,70.473661,-146.769796,G,,,
1,GPS,2014-04-19T16:00:01,70.473652,-146.769782,G,,,
1,GPS,2014-04-19T18:00:01,70.473658,-146.769828,G,,,
1,Argos,2014-04-19T18:58:54,70.475,-146.778,LA,,,
1,Argos,2014-04-19T18:59:40,70.474,-146.775,L2,,,
1,Argos,2014-04-19T19:03:33,70.474,-146.762,LA,,,
1,Argos,2014-04-19T19:17:30,70.476,-146.764,LB,,,
1,Argos,2014-04-19T19:55:28,70.465,-146.747,LB,,,
1,GPS,2014-04-19T20:00:01,70.473518,-146.770384,G,,,
1,Argos,2014-04-19T20:58:14,70.47,-146.654,LB,,,
1,Argos,2014-04-19T21:31:34,70.48,-146.783,L1,,,
1,GPS,2014-04-19T22:00:01,70.486978,-146.773092,G,,,
1,GPS,2014-04-20T00:00:01,70.499815,-146.804138,G,,,
1,GPS,2014-04-20T02:00:01,70.499819,-146.804122,G,,,
1,GPS,2014-04-20T04:00:01,70.499817,-146.804091,G,,,
1,GPS,2014-04-20T06:00:01,70.498573,-146.799987,G,,,
1,GPS,2014-04-20T08:00:01,70.498453,-146.78686,G,,,
1,GPS,2014-04-20T10:00:01,70.498433,-146.777643,G,,,
1,GPS,2014-04-20T12:00:01,70.498088,-146.771027,G,,,
1,GPS,2014-04-20T14:00:01,70.50124,-146.775295,G,,,
1,GPS,2014-04-20T16:00:01,70.499793,-146.74499,G,,,
1,GPS,2014-04-20T18:00:01,70.499791,-146.745023,G,,,
1,GPS,2014-04-20T20:00:01,70.499806,-146.744981,G,,,
1,GPS,2014-04-20T22:00:01,70.499791,-146.745088,G,,,
1,GPS,2014-04-21T00:00:01,70.499755,-146.745105,G,,,
1,GPS,2014-04-21T02:00:01,70.4998,-146.744982,G,,,
1,GPS,2014-04-21T04:00:01,70.499806,-146.744993,G,,,
1,GPS,2014-04-21T06:00:01,70.499645,-146.758521,G,,,
1,GPS,2014-04-21T08:00:01,70.502938,-146.79342,G,,,
1,GPS,2014-04-21T10:00:01,70.502381,-146.796618,G,,,
1,GPS,2014-04-21T12:00:01,70.501665,-146.796947,G,,,
1,GPS,2014-04-21T14:00:01,70.500527,-146.796639,G,,,
1,GPS,2014-04-21T16:00:01,70.500515,-146.796651,G,,,
1,GPS,2014-04-21T18:00:01,70.50236,-146.796555,G,,,
1,Argos,2014-04-21T18:08:31,70.505,-146.794,LA,,,
1,Argos,2014-04-21T18:17:49,70.509,-146.825,LB,,,
1,Argos,2014-04-21T18:32:32,70.496,-146.78,LA,,,
1,Argos,2014-04-21T18:58:07,70.545,-146.69,LB,,,
1,Argos,2014-04-21T19:51:35,70.499,-146.818,L1,,,
1,GPS,2014-04-21T20:00:01,70.502402,-146.796435,G,,,
1,Argos,2014-04-21T20:02:26,70.503,-146.795,L1,,,
1,Argos,2014-04-21T21:07:32,70.469,-146.632,L0,,,
1,Argos,2014-04-21T21:43:57,70.486,-146.803,L1,,,
1,Argos,2014-04-21T21:55:35,70.51,-146.703,LB,,,
1,GPS,2014-04-21T22:00:01,70.502938,-146.79993,G,,,
1,GPS,2014-04-22T00:00:01,70.511494,-146.797901,G,,,
1,GPS,2014-04-22T02:00:01,70.511748,-146.799826,G,,,
1,GPS,2014-04-22T04:00:01,70.51176,-146.799836,G,,,
1,GPS,2014-04-22T06:00:01,70.504621,-146.800253,G,,,
1,GPS,2014-04-22T08:00:01,70.502433,-146.808216,G,,,
1,GPS,2014-04-22T10:00:01,70.497322,-146.799146,G,,,
1,GPS,2014-04-22T12:00:01,70.50292,-146.806363,G,,,
1,GPS,2014-04-22T14:00:01,70.503881,-146.824423,G,,,
1,GPS,2014-04-22T16:00:01,70.501781,-146.822946,G,,,
1,GPS,2014-04-22T18:00:01,70.501325,-146.823022,G,,,
1,GPS,2014-04-22T20:00:01,70.501326,-146.82302,G,,,
1,GPS,2014-04-22T22:00:01,70.501333,-146.823136,G,,,
1,GPS,2014-04-23T00:00:01,70.501336,-146.823068,G,,,
1,GPS,2014-04-23T02:00:01,70.501348,-146.822983,G,,,
1,GPS,2014-04-23T04:00:01,70.501329,-146.822925,G,,,
1,GPS,2014-04-23T06:00:01,70.502562,-146.815843,G,,,
1,GPS,2014-04-23T08:00:01,70.50648,-146.835672,G,,,
1,GPS,2014-04-23T10:00:01,70.504281,-146.851031,G,,,
1,GPS,2014-04-23T12:00:01,70.512106,-146.861746,G,,,
1,GPS,2014-04-23T14:00:01,70.513816,-146.911111,G,,,
1,GPS,2014-04-23T14:00:01,70.513798,-146.911127,G,,,
1,GPS,2014-04-23T15:00:01,70.509868,-146.885962,G,,,
1,GPS,2014-04-23T16:00:01,70.509868,-146.885962,G,,,
1,GPS,2014-04-23T16:00:01,70.509872,-146.885928,G,,,
1,GPS,2014-04-23T17:00:01,70.510125,-146.88622,G,,,
1,GPS,2014-04-23T18:00:01,70.510125,-146.88622,G,,,
1,Argos,2014-04-23T18:57:20,70.485,-146.785,LA,,,
1,GPS,2014-04-23T19:00:01,70.510125,-146.886306,G,,,
1,Argos,2014-04-23T19:19:49,70.496,-146.907,LB,,,
1,Argos,2014-04-23T19:50:49,70.501,-146.904,LA,,,
1,GPS,2014-04-23T20:00:01,70.510139,-146.886203,G,,,
1,Argos,2014-04-23T21:00:33,70.493,-146.79,LZ,,,
1,GPS,2014-04-23T22:00:01,70.51015,-146.886229,G,,,
1,GPS,2014-04-24T00:00:01,70.510114,-146.886283,G,,,
1,GPS,2014-04-24T02:00:01,70.510171,-146.886237,G,,,
1,GPS,2014-04-24T04:00:01,70.510105,-146.886178,G,,,
1,GPS,2014-04-24T06:00:01,70.509864,-146.885927,G,,,
1,GPS,2014-04-24T08:00:01,70.511898,-146.878855,G,,,
1,GPS,2014-04-24T10:00:01,70.497256,-146.878888,G,,,
1,GPS,2014-04-24T12:00:01,70.506377,-146.921997,G,,,
1,GPS,2014-04-24T14:00:01,70.507764,-146.925435,G,,,
1,GPS,2014-04-24T16:00:01,70.514941,-146.934814,G,,,
1,GPS,2014-04-24T18:00:01,70.514679,-146.939476,G,,,
1,GPS,2014-04-24T20:00:01,70.514673,-146.939511,G,,,
1,GPS,2014-04-24T22:00:01,70.514697,-146.939502,G,,,
1,GPS,2014-04-25T00:00:01,70.51461,-146.939494,G,,,
1,GPS,2014-04-25T02:00:01,70.514611,-146.939408,G,,,
1,GPS,2014-04-25T04:00:01,70.514612,-146.939437,G,,,
1,GPS,2014-04-25T06:00:01,70.527276,-146.918486,G,,,
1,GPS,2014-04-25T08:00:01,70.541668,-146.931566,G,,,
1,GPS,2014-04-25T10:00:01,70.550484,-146.931057,G,,,
