tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,attachment-type,deploy-on-latitude,deploy-on-longitude,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
1993CA-ST6-10823,1993CA-Bmu-10823,Balaenoptera musculus,1993-08-28 18:20:00.000,1993-09-01 22:35:12.000,adult, ,implant,37.012,-122.412,1993CA-10823,none,"Pt. Ano Nuevo, CA","Telonics, Inc",ST6,satellite
1993CA-ST6-10833,1993CA-Bmu-10833,Balaenoptera musculus,1993-08-28 18:54:00.000,1993-08-28 21:45:56.000,adult, ,implant,37.022,-122.415,1993CA-10833,none,"Pt. Ano Nuevo, CA","Telonics, Inc",ST6,satellite
1993CA-ST6-00834,1993CA-Bmu-00834,Balaenoptera musculus,1993-08-29 01:13:00.000,1993-09-05 13:41:06.000,adult, ,implant,37.058,-122.433,1993CA-00834,none,"Pt. Ano Nuevo, CA","Telonics, Inc",ST6,satellite
1993CA-ST6-10836,1993CA-Bmu-10836,Balaenoptera musculus,1993-08-31 23:40:00.000,1993-09-04 16:35:40.000,adult, ,implant,37.198,-122.773,1993CA-10836,none,"Pigeon Point, CA","Telonics, Inc",ST6,satellite
1994CA-ST10-10821,1994CA-Bmu-10821,Balaenoptera musculus,1994-09-13 20:31:00.000,1994-09-14 00:23:34.000,adult, ,implant,37.6,-123.0,1994CA-10821,none,"Farallon Islands, CA","Telonics, Inc",ST10,satellite
1994CA-ST10-10820,1994CA-Bmu-10820,Balaenoptera musculus,1994-09-13 21:28:00.000,1994-09-19 13:28:52.000,adult, ,implant,37.687,-123.102,1994CA-10820,none,"Farallon Islands, CA","Telonics, Inc",ST10,satellite
1994CA-ST10-10822,1994CA-Bmu-10822,Balaenoptera musculus,1994-09-13 22:35:00.000,1994-09-14 16:41:38.000,adult, ,implant,37.0,-123.4,1994CA-10822,none,"Offshore, Pigeon Point, CA","Telonics, Inc",ST10,satellite
1994CA-ST10-10823,1994CA-Bmu-10823,Balaenoptera musculus,1994-09-14 21:22:00.000,1994-09-23 00:13:26.000,adult, ,implant,37.745,-123.142,1994CA-10823,none,"Farallon Islands, CA","Telonics, Inc",ST10,satellite
1994CA-ST10-10824,1994CA-Bmu-10824,Balaenoptera musculus,1994-09-14 22:00:00.000,1994-09-15 04:03:58.000,adult, ,implant,37.745,-123.125,1994CA-10824,none,"Farallon Islands, CA","Telonics, Inc",ST10,satellite
1994CA-ST10-10829,1994CA-Bmu-10829,Balaenoptera musculus,1994-09-27 20:55:00.000,1994-09-30 05:06:58.000,adult, ,implant,34.123,-120.048,1994CA-10829,none,"Santa Barbara Channel, CA","Telonics, Inc",ST10,satellite
1994CA-ST10-10828,1994CA-Bmu-10828,Balaenoptera musculus,1994-10-01 19:00:00.000,1994-10-15 16:00:22.000,adult, ,implant,34.236,-120.458,1994CA-10828,none,"Santa Barbara Channel, CA","Telonics, Inc",ST10,satellite
1994CA-ST6-00848,1994CA-Bmu-00848,Balaenoptera musculus,1994-10-06 18:58:00.000,1994-10-08 04:01:11.000,adult, ,implant,34.147,-119.941,1994CA-00848,none,"Santa Barbara Channel, CA","Telonics, Inc",ST6,satellite
1994CA-ST6-23029,1994CA-Bmu-23029,Balaenoptera musculus,1994-10-07 17:27:00.000,1994-10-08 14:36:12.000,adult, ,implant,34.148,-119.938,1994CA-23029,none,"Santa Barbara Channel, CA","Telonics, Inc",ST6,satellite
1995CA-ST6-02083,1995CA-Bmu-02083,Balaenoptera musculus,1995-08-08 22:20:00.000,1995-08-20 21:28:31.000,adult, ,implant,34.096,-120.085,1995CA-02083,none,"Santa Barbara Channel, CA","Telonics, Inc",ST6,satellite
1995CA-ST10-04172,1995CA-Bmu-04172,Balaenoptera musculus,1995-08-23 19:09:00.000,1995-09-11 14:08:48.000,adult, ,implant,33.374,-119.51,1995CA-04172,none,"San Nicolas Island, CA","Telonics, Inc",ST10,satellite
1995CA-ST10-23042,1995CA-Bmu-23042,Balaenoptera musculus,1995-08-23 22:02:00.000,1995-09-11 11:11:28.000,adult, ,implant,33.31,-119.4,1995CA-23042,none,"San Nicolas Island, CA","Telonics, Inc",ST10,satellite
1995CA-ST10-23041,1995CA-Bmu-23041,Balaenoptera musculus,1995-09-10 20:42:00.000,1995-09-21 11:04:05.000,adult, ,implant,34.149,-120.225,1995CA-23041,none,"Santa Barbara Channel, CA","Telonics, Inc",ST10,satellite
1995CA-ST6-00841,1995CA-Bmu-00841,Balaenoptera musculus,1995-09-10 22:41:00.000,1995-09-26 10:11:38.000,adult, ,implant,34.163,-120.22,1995CA-00841,none,"Santa Barbara Channel, CA","Telonics, Inc",ST6,satellite
1995CA-ST6-00845,1995CA-Bmu-00845,Balaenoptera musculus,1995-09-10 23:40:00.000,1995-09-13 02:43:34.000,adult, ,implant,34.137,-120.217,1995CA-00845,none,"Santa Barbara Channel, CA","Telonics, Inc",ST6,satellite
1995CA-ST10-23037,1995CA-Bmu-23037,Balaenoptera musculus,1995-09-11 18:06:00.000,1995-09-12 03:04:20.000,adult, ,implant,34.115,-120.084,1995CA-23037,none,"Santa Barbara Channel, CA","Telonics, Inc",ST10,satellite
