event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:sat-id,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16819869763,true,2017-06-09 22:00:00.000,14.22415,38.45722,,,-136.0,4.016773012E8,3877.0,5997,"8",38.45722,38.45722,"B",14.22415,14.22415,1,0,3,100.0,0.0,"NP",4911.0,3059.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869764,true,2017-06-09 22:00:00.000,14.19605,38.439,,,-127.0,4.01677297E8,154.0,267,"58",38.439,38.439,"3",14.19605,14.19605,4,0,3,89.0,432.0,"NP",239.0,99.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869765,true,2017-06-09 22:00:00.000,14.1922,38.42725,,,-125.0,4.016772968E8,673.0,1871,"58",38.42725,38.42725,"1",14.1922,14.1922,5,0,3,78.0,604.0,"SR",6266.0,72.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869766,true,2017-06-09 22:00:00.000,14.17054,38.41883,,,-125.0,4.016772996E8,1373.0,3873,"8",38.41883,38.41883,"B",14.17054,14.17054,1,0,2,79.0,0.0,"NK",3159.0,596.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869767,true,2017-06-09 22:00:00.000,14.17819,38.41876,,,-133.0,4.016772945E8,1721.0,4859,"8",38.41876,38.41876,"B",14.17819,14.17819,1,0,3,77.0,0.0,"SR",3853.0,768.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869768,true,2017-06-09 22:00:00.000,14.16155,38.40927,,,-128.0,4.016772986E8,1798.0,5077,"6",38.40927,38.40927,"B",14.16155,14.16155,1,0,3,81.0,0.0,"NN",3986.0,810.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869769,true,2017-06-09 22:00:00.000,14.16492,38.39131,,,-127.0,4.016772967E8,275.0,481,"56",38.39131,38.39131,"2",14.16492,14.16492,7,0,3,60.0,303.0,"NK",666.0,113.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869770,true,2017-06-09 22:00:00.000,14.14723,38.38106,,,-125.0,4.016772987E8,1479.0,3208,"8",38.38106,38.38106,"B",14.14723,14.14723,1,0,3,94.0,0.0,"MA",1897.0,1152.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869771,true,2017-06-09 22:00:00.000,14.15517,38.38509,,,-130.0,4.016773009E8,1627.0,3948,"6",38.38509,38.38509,"B",14.15517,14.15517,1,0,3,74.0,0.0,"NN",2527.0,1047.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869772,true,2017-06-09 22:00:00.000,14.14225,38.37808,,,-129.0,4.016773008E8,1776.0,4722,"8",38.37808,38.37808,"B",14.14225,14.14225,1,0,3,75.0,0.0,"MB",2547.0,1237.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869773,true,2017-06-09 22:00:00.000,14.12236,38.35731,,,-120.0,4.016773004E8,171.0,262,"58",38.35731,38.35731,"3",14.12236,14.12236,4,0,2,108.0,495.0,"MA",250.0,117.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869774,true,2017-06-09 22:00:00.000,13.97627,38.25051,,,-140.0,4.016773022E8,2641.0,7454,"8",38.25051,38.25051,"B",13.97627,13.97627,1,0,3,96.0,0.0,"NN",3504.0,1989.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869775,true,2017-06-09 22:00:00.000,13.96884,38.25763,,,-129.0,4.016773004E8,1602.0,4522,"6",38.25763,38.25763,"A",13.96884,13.96884,3,0,3,72.0,365.0,"NK",80924.0,31.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869776,true,2017-06-09 22:00:00.000,13.98972,38.26256,,,-128.0,4.016773043E8,2383.0,6736,"6",38.26256,38.26256,"B",13.98972,13.98972,2,0,2,82.0,318.0,"SR",144483.0,39.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869777,true,2017-06-09 22:00:00.000,13.94297,38.24361,,,-127.0,4.016773116E8,758.0,2123,"8",38.24361,38.24361,"B",13.94297,13.94297,2,0,3,146.0,91.0,"NN",4321.0,132.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869778,true,2017-06-09 22:00:00.000,13.92488,38.26027,,,-128.0,4.016772977E8,412.0,1129,"6",38.26027,38.26027,"A",13.92488,13.92488,3,0,3,22.0,318.0,"NK",1345.0,126.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869779,true,2017-06-09 22:00:00.000,13.92162,38.25635,,,-129.0,4.016772995E8,559.0,1555,"6",38.25635,38.25635,"B",13.92162,13.92162,1,0,3,25.0,0.0,"SR",840.0,372.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869780,true,2017-06-09 22:00:00.000,13.89351,38.24236,,,-123.0,4.01677302E8,1036.0,2915,"8",38.24236,38.24236,"B",13.89351,13.89351,2,0,3,50.0,48.0,"MA",1851.0,579.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869781,true,2017-06-10 22:00:00.000,13.77449,38.22028,,,-130.0,4.016772798E8,2501.0,7066,"8",38.22028,38.22028,"B",13.77449,13.77449,1,0,3,89.0,0.0,"NP",4430.0,1411.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869782,true,2017-06-10 22:00:00.000,13.75031,38.26858,,,-131.0,4.016772973E8,359.0,954,"8",38.26858,38.26858,"A",13.75031,13.75031,3,0,3,72.0,692.0,"NP",1127.0,114.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869783,true,2017-06-10 22:00:00.000,13.72184,38.27139,,,-126.0,4.016773048E8,1160.0,3262,"8",38.27139,38.27139,"B",13.72184,13.72184,1,0,3,86.0,0.0,"SR",2210.0,608.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869784,true,2017-06-10 22:00:00.000,13.70584,38.27728,,,-135.0,4.016772916E8,1505.0,4247,"8",38.27728,38.27728,"B",13.70584,13.70584,1,0,3,93.0,0.0,"NP",3209.0,705.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869785,true,2017-06-10 22:00:00.000,13.71918,38.29126,,,-127.0,4.016772981E8,573.0,1596,"6",38.29126,38.29126,"A",13.71918,13.71918,3,0,3,89.0,294.0,"NK",8098.0,40.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869786,true,2017-06-10 22:00:00.000,13.68946,38.28333,,,-127.0,4.01677301E8,1905.0,5382,"8",38.28333,38.28333,"B",13.68946,13.68946,1,0,3,94.0,0.0,"SR",5115.0,709.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869787,true,2017-06-10 22:00:00.000,13.69425,38.28825,,,-124.0,4.016773093E8,2175.0,6145,"8",38.28825,38.28825,"B",13.69425,13.69425,2,0,3,86.0,162.0,"MA",44801.0,105.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869788,true,2017-06-10 22:00:00.000,13.64365,38.28035,,,-130.0,4.016773011E8,1024.0,2882,"6",38.28035,38.28035,"A",13.64365,13.64365,3,0,3,95.0,174.0,"NN",7945.0,132.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869789,true,2017-06-10 22:00:00.000,13.61646,38.28233,,,-128.0,4.016773006E8,613.0,1707,"6",38.28233,38.28233,"B",13.61646,13.61646,2,0,3,154.0,489.0,"MB",2442.0,153.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869790,true,2017-06-10 22:00:00.000,13.61066,38.27039,,,-123.0,4.016772999E8,142.0,259,"58",38.27039,38.27039,"3",13.61066,13.61066,4,0,3,89.0,560.0,"MA",303.0,66.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869791,true,2017-06-10 22:00:00.000,13.57362,38.26674,,,-132.0,4.016773012E8,1312.0,3696,"8",38.26674,38.26674,"B",13.57362,13.57362,1,0,3,97.0,0.0,"MA",1685.0,1020.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869792,true,2017-06-10 22:00:00.000,13.57243,38.22164,,,-130.0,4.016772919E8,598.0,1661,"8",38.22164,38.22164,"A",13.57243,13.57243,3,0,3,43.0,340.0,"NP",5801.0,61.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
16819869793,true,2017-06-10 22:00:00.000,13.58493,38.21467,,,-126.0,4.016772978E8,229.0,195,"58",38.21467,38.21467,"3",13.58493,13.58493,7,0,3,93.0,607.0,"NP",496.0,105.0,,,,,,"argos-doppler-shift","Caretta caretta","162343","S250","Satellite Tracking of Oceanic Loggerhead Turtles in the Mediterranean"
