REF,PTT,CNT,DE_DATE,TIME,SURF_DUR,DIVE_DUR,MAX_DEP,D1,D2,D3,D4,D5,T1,T2,T3,T4,T5,N_DEPTHS,N_SPEEDS,DEPTH_STR,PROPN_STR,GRP_NUMBER,DS_DATE,START_LAT,START_LON,LAT,LON
ft20-245-16,162338,1,12/22/16,14:32:52,306,40,4,4,4,4,4,4,9.5,19,39.6,69.8,79.3,5,0,"4.0,   4.0,   4.0,   4.0,   4.0","9.5,19.0,39.6,69.8,79.3",29,12/22/2016,39.52746335,13.73938751,39.52743365,13.73941789
ft20-245-16,162338,1,12/23/16,9:59:40,80,240,9,5,4,4,9,4,4.7,14.2,28.5,44.4,63.4,5,0,"5.0,   4.0,   4.0,   9.0,   4.0","4.7,14.2,28.5,44.4,63.4",17,12/23/2016,39.49858835,13.64984256,39.49852392,13.64931827
ft20-245-16,162338,1,12/23/16,10:02:00,36,60,4,4,4,4,4,4,22.2,34.9,52.3,69.8,80.9,5,0,"4.0,   4.0,   4.0,   4.0,   4.0","22.2,34.9,52.3,69.8,80.9",17,12/23/2016,39.49850244,13.64914351,39.49848633,13.64901244
ft20-245-16,162338,2,12/23/16,19:02:44,28,6000,15,13,15,12,8,7,0,0,4.7,96.8,98.4,5,0,"13.0,  15.0,  12.0,   8.0,   7.0","0.0, 0.0, 4.7,96.8,98.4",27,12/23/2016,39.49138704,13.59124531,39.48977625,13.57813827
ft20-245-16,162338,1,12/23/16,22:26:08,100,5400,11,9,11,9,8,8,0,0,1.5,3.1,49.2,5,0,"9.0,  11.0,   9.0,   8.0,   8.0","0.0, 0.0, 1.5, 3.1,49.2",29,12/23/2016,39.48794961,13.56327487,39.4864999,13.55147853
ft20-245-16,162338,2,12/25/16,13:14:12,298,2100,37.5,24,37.5,18,18,26,1.5,7.9,39.6,85.7,93.6,5,0,"24.0,  37.5,  18.0,  18.0,  26.0","1.5, 7.9,39.6,85.7,93.6",9,12/25/2016,39.44956337,13.25092518,39.44899959,13.24633772
ft20-245-16,162338,2,11/5/16,15:25:32,290,40,7,5,5,7,7,6,28.5,39.6,58.7,69.8,79.3,5,0,"5.0,   5.0,   7.0,   7.0,   6.0","28.5,39.6,58.7,69.8,79.3",13,11/05/2016,38.62612055,14.34221331,38.6261407,14.3421415
ft20-245-16,162338,3,11/6/16,2:16:12,298,3000,18,15,18,18,12,9,0,0,1.5,93.6,96.8,5,0,"15.0,  18.0,  18.0,  12.0,   9.0","0.0, 0.0, 1.5,93.6,96.8",15,11/06/2016,38.64429569,14.27744325,38.64580693,14.27205771
ft20-245-16,162338,1,11/6/16,17:41:24,290,4200,35,30,35,28,20,15,0,1.5,12.6,95.2,96.8,5,0,"30.0,  35.0,  28.0,  20.0,  15.0","0.0, 1.5,12.6,95.2,96.8",31,11/06/2016,38.67165511,14.17994349,38.67377084,14.17240374
ft20-245-16,162338,2,11/9/16,22:45:28,282,4500,22,19,22,20,14,11,0,1.5,4.7,93.6,96.8,5,0,"19.0,  22.0,  20.0,  14.0,  11.0","0.0, 1.5, 4.7,93.6,96.8",26,11/09/2016,38.7374232,14.29980207,38.73822925,14.30393732
ft20-245-16,162338,2,11/10/16,7:49:24,282,3300,47.5,47.5,28,40,20,30,3.1,23.8,65,73,88.8,5,0,"47.5,  28.0,  40.0,  20.0,  30.0","3.1,23.8,65.0,73.0,88.8",1,11/10/2016,38.74348399,14.33089547,38.7440751,14.33392799
ft20-245-16,162338,1,11/11/16,3:04:36,282,3900,12,11,12,10,7,6,0,0,6.3,93.6,96.8,5,0,"11.0,  12.0,  10.0,   7.0,   6.0","0.0, 0.0, 6.3,93.6,96.8",15,11/11/2016,38.75579187,14.39403798,38.75649045,14.39762187
ft20-245-16,162338,1,11/11/16,9:04:24,306,60,12,7,10,12,12,6,17.4,28.5,52.3,58.7,80.9,5,0,"7.0,  10.0,  12.0,  12.0,   6.0","17.4,28.5,52.3,58.7,80.9",20,11/11/2016,38.7603466,14.4174049,38.76035735,14.41746004
ft20-245-16,162338,2,11/12/16,3:45:40,52,5100,14,14,13,11,14,9,0,20.6,22.2,23.8,90.4,5,0,"14.0,  13.0,  11.0,  14.0,   9.0","0.0,20.6,22.2,23.8,90.4",3,11/12/2016,38.77149448,14.47459633,38.77240801,14.47928295
ft20-245-16,162338,2,11/12/16,5:08:08,282,4500,11,10,11,9,7,6,0,0,1.5,84.1,96.8,5,0,"10.0,  11.0,   9.0,   7.0,   6.0","0.0, 0.0, 1.5,84.1,96.8",4,11/12/2016,38.77248826,14.47969464,38.77329431,14.48382989
ft20-245-16,162338,1,11/13/16,8:14:24,298,3900,80,80,80,65,30,28,7.9,9.5,15.8,20.6,80.9,5,0,"80.0,  80.0,  65.0,  30.0,  28.0","7.9, 9.5,15.8,20.6,80.9",25,11/13/2016,38.7532707,14.53294811,38.74946767,14.52584727
ft20-245-16,162338,3,11/13/16,12:38:34,138,60,6,6,5,6,4,6,4.7,17.4,46,58.7,76.1,5,0,"6.0,   5.0,   6.0,   4.0,   6.0","4.7,17.4,46.0,58.7,76.1",30,11/13/2016,38.73407027,14.49709795,38.73401176,14.4969887
ft20-245-16,162338,3,11/13/16,12:41:32,282,40,5,5,5,5,4,5,9.5,19,28.5,49.2,79.3,5,0,"5.0,   5.0,   5.0,   4.0,   5.0","9.5,19.0,28.5,49.2,79.3",30,11/13/2016,38.7338772,14.49673744,38.73383819,14.49666461
ft20-245-16,162338,1,11/13/16,12:50:28,44,240,8,8,6,4,7,7,12.6,33.3,41.2,49.2,61.9,5,0,"8.0,   6.0,   4.0,   7.0,   7.0","12.6,33.3,41.2,49.2,61.9",31,11/13/2016,38.73354955,14.49612568,38.73331552,14.4956887
ft20-245-16,162338,1,11/13/16,12:51:42,32,30,5,4,4,4,5,5,9.5,31.7,42.8,53.9,65,5,0,"4.0,   4.0,   4.0,   5.0,   5.0","9.5,31.7,42.8,53.9,65.0",31,11/13/2016,38.73327261,14.49560859,38.73324336,14.49555397
ft20-245-16,162338,2,11/13/16,12:53:26,162,60,7,5,5,4,7,7,11.1,39.6,58.7,76.1,80.9,5,0,"5.0,   5.0,   4.0,   7.0,   7.0","11.1,39.6,58.7,76.1,80.9",0,11/13/2016,38.73320045,14.49547385,38.73314194,14.49536461
ft20-245-16,162338,2,11/13/16,12:58:08,36,120,10,8,10,6,5,6,4.7,17.4,30.1,68.2,84.1,5,0,"8.0,  10.0,   6.0,   5.0,   6.0","4.7,17.4,30.1,68.2,84.1",0,11/13/2016,38.73298397,14.49506965,38.73286695,14.49485116
ft20-245-16,162338,4,11/15/16,8:48:36,306,360,14,13,8,14,11,12,7.9,36.5,58.7,73,85.7,5,0,"13.0,   8.0,  14.0,  11.0,  12.0","7.9,36.5,58.7,73.0,85.7",8,11/15/2016,38.57931425,14.20814449,38.57896321,14.20748903
ft20-245-16,162338,1,11/15/16,18:17:04,298,3000,9,8,9,7,9,8,0,0,6.3,7.9,42.8,5,0,"8.0,   9.0,   7.0,   9.0,   8.0","0.0, 0.0, 6.3, 7.9,42.8",15,11/15/2016,38.54296675,14.15823368,38.53865202,14.15458334
ft20-245-16,162338,1,11/18/16,22:55:40,290,2100,40,30,40,32.5,26,20,3.1,6.3,19,87.3,93.6,5,0,"30.0,  40.0,  32.5,  26.0,  20.0","3.1, 6.3,19.0,87.3,93.6",4,11/18/2016,38.87769124,13.75356979,38.88512742,13.75620156
ft20-245-16,162338,1,11/24/16,14:25:46,306,30,6,5,6,6,6,6,11.1,23.8,36.5,61.9,74.6,5,0,"5.0,   6.0,   6.0,   6.0,   6.0","11.1,23.8,36.5,61.9,74.6",23,11/24/2016,39.75032783,14.59625132,39.75040357,14.59626943
